Société,Site commercial,Numéro de client,Groupe de clients,Agence commerciale,Article,Groupe de marchandises,Jour calendaire,Mois/Année,Poids net
SUTA,Oulad Ayad,105683,Grossistes,A09,3002,Morceau,4/21/17,4/2017,5.0000000000E-01
SUTA,Oulad Ayad,103557,Grossistes,A07,4500,GR-GCDT,5/21/18,5/2018,3.5000000000E+00
SUTA,Oulad Ayad,106237,Grossistes,A01,4205,GR-PCDT,7/27/17,7/2017,-4.9200000000E-01
SUTA,Oulad Ayad,103883,Grossistes,A02,4205,GR-PCDT,2/17/18,2/2018,9.0000000000E-01
SUTA,Oulad Ayad,103051,Grossistes,A09,2004,Lingot,10/25/17,10/2017,-5.0000000000E-01
SUTA,Oulad Ayad,101951,Grossistes,A09,1000,Pain,7/17/18,7/2018,1.5400000000E+00
SUTA,Oulad Ayad,103082,Grossistes,A09,4205,GR-PCDT,10/19/18,10/2018,9.0000000000E-01
SUTA,Oulad Ayad,105683,Grossistes,A09,1000,Pain,4/10/17,4/2017,6.5000000000E+00
SUTA,Oulad Ayad,104646,Grossistes,A02,4100,GR-PCDT,1/30/17,1/2017,-7.0000000000E-01
SUTA,Oulad Ayad,101747,Grossistes,A09,4100,GR-PCDT,4/15/17,4/2017,-5.0000000000E-01
SUTA,Oulad Ayad,103557,Grossistes,A07,4205,GR-PCDT,3/13/18,3/2018,-3.0000000000E-01
SUTA,Oulad Ayad,103051,Grossistes,A09,4100,GR-PCDT,6/12/18,6/2018,2.5000000000E+00
SUTA,Oulad Ayad,106237,Grossistes,A01,1000,Pain,4/25/17,4/2017,4.5000000000E+00
SUTA,Oulad Ayad,110019,Grossistes,A07,2004,Lingot,5/12/17,5/2017,3.5000000000E+00
SUTA,Oulad Ayad,101560,Grossistes,A07,4205,GR-PCDT,8/9/18,8/2018,-9.0000000000E-01
SUTA,Oulad Ayad,102552,Grossistes,A09,1000,Pain,6/17/17,6/2017,6.5000000000E+00
SUTA,Oulad Ayad,100006,Grossistes,A09,1000,Pain,12/14/17,12/2017,2.9508000000E+01
SUTA,Oulad Ayad,104019,Grossistes,A07,2004,Lingot,6/20/17,6/2017,2.5000000000E+00
SUTA,Oulad Ayad,110060,Grossistes,A07,4205,GR-PCDT,7/6/17,7/2017,2.5860000000E+01
SUTA,Oulad Ayad,100994,Industriels,A07,4500,GR-GCDT,7/28/18,7/2018,5.2500000000E+01
SUTA,Oulad Ayad,104551,Grossistes,A09,4205,GR-PCDT,10/11/17,10/2017,3.0000000000E-01
SUTA,Oulad Ayad,105940,Grossistes,A02,4100,GR-PCDT,5/19/17,5/2017,3.8600000000E+00
SUTA,Oulad Ayad,105683,Grossistes,A09,4100,GR-PCDT,9/12/18,9/2018,-5.0000000000E-01
SUTA,Oulad Ayad,102159,Industriels,A01,4500,GR-GCDT,8/28/18,8/2018,2.3500000000E+01
SUTA,Oulad Ayad,100722,Grossistes,A06,4205,GR-PCDT,4/19/17,4/2017,1.4508000000E+01
SUTA,Oulad Ayad,105983,Grossistes,A01,4205,GR-PCDT,4/24/17,4/2017,-5.4000000000E-01
SUTA,Oulad Ayad,106235,Grossistes,A05,1000,Pain,1/30/17,1/2017,1.6580000000E+01
SUTA,Oulad Ayad,103095,Grossistes,A02,2004,Lingot,10/12/17,10/2017,-5.0000000000E-01
SUTA,Oulad Ayad,103095,Grossistes,A02,4100,GR-PCDT,7/4/17,7/2017,-1.0000000000E+00
SUTA,Oulad Ayad,103051,Grossistes,A09,4205,GR-PCDT,11/17/18,11/2018,-4.9200000000E-01
SUTA,Oulad Ayad,101901,Grossistes,A09,1000,Pain,6/19/18,6/2018,3.3000000000E+00
