Société,Site commercial,Numéro de client,Groupe de clients,Agence commerciale,Article,Groupe de marchandises,Jour calendaire,Mois/Année,Poids net
COSUMAR SA,Raffinerie,102714,Grossistes,A15,4106,GR-PCDT,3/22/19,201903,-1.00
COSUMAR SA,Raffinerie,104482,GMS,A05,3005,Morceau,1/7/19,201901,27.54
COSUMAR SA,Sidi Bennour,105997,Grossistes,A01,4205,GR-PCDT,3/21/20,202003,5.70
COSUMAR SA,Raffinerie,110210,Grossistes,A01,3005,Morceau,4/20/20,202004,-0.18
COSUMAR SA,Raffinerie,102001,Grossistes,A06,1000,Pain,7/20/20,202007,23.84
COSUMAR SA,Raffinerie,103000,Industriels,A01,4406,GR-GCDT,9/14/20,202009,8.50
COSUMAR SA,Raffinerie,103988,Grossistes,A04,3005,Morceau,8/23/19,201908,-0.50
COSUMAR SA,Raffinerie,103605,Grossistes,A05,2000,Lingot,11/27/20,202011,1.14
COSUMAR SA,Sidi Bennour,101845,Grossistes,A02,4501,GR-GCDT,6/9/20,202006,6.50
COSUMAR SA,Raffinerie,103608,Grossistes,A01,1000,Pain,8/6/20,202008,3.11
COSUMAR SA,Raffinerie,103573,Grossistes,A01,2000,Lingot,1/31/19,201901,2.46
COSUMAR SA,Sidi Bennour,110174,Grossistes,A01,1007,Pain,6/25/19,201906,29.62
COSUMAR SA,Sidi Bennour,104019,Grossistes,A07,4205,GR-PCDT,10/8/20,202010,2.10
COSUMAR SA,Raffinerie,101557,Grossistes,A07,1000,Pain,6/6/20,202006,3.30
COSUMAR SA,Raffinerie,104498,GMS,A15,4500,GR-GCDT,4/27/20,202004,26.50
COSUMAR SA,Raffinerie,103674,Industriels,A01,4500,GR-GCDT,6/26/20,202006,24.50
COSUMAR SA,Raffinerie,104474,Grossistes,A01,4500,GR-GCDT,5/15/20,202005,46.50
COSUMAR SA,Raffinerie,101557,Grossistes,A07,2000,Lingot,6/6/20,202006,1.14
COSUMAR SA,Raffinerie,101901,Grossistes,A09,3005,Morceau,7/6/20,202007,-0.18
COSUMAR SA,Raffinerie,101062,Grossistes,A01,2000,Lingot,5/9/20,202005,1.14
COSUMAR SA,Raffinerie,104217,Industriels,A01,4500,GR-GCDT,1/27/19,201901,24.50
COSUMAR SA,Raffinerie,106041,Grossistes,A02,2000,Lingot,5/7/19,201905,1.00
COSUMAR SA,Raffinerie,106077,Grossistes,A06,3005,Morceau,6/11/20,202006,1.14
COSUMAR SA,Raffinerie,100008,Grossistes,A04,2000,Lingot,3/21/20,202003,9.06
COSUMAR SA,Raffinerie,104207,Grossistes,A04,3005,Morceau,11/25/20,202011,1.14
COSUMAR SA,Raffinerie,102715,GMS,A01,2000,Lingot,11/29/19,201911,-0.18
COSUMAR SA,Raffinerie,105683,Grossistes,A09,2000,Lingot,4/25/20,202004,3.78
COSUMAR SA,Raffinerie,101062,Grossistes,A01,2000,Lingot,9/23/20,202009,3.78
COSUMAR SA,Sidi Bennour,105941,Grossistes,A07,1007,Pain,11/26/20,202011,53.80
COSUMAR SA,Sidi Bennour,110174,Grossistes,A01,4205,GR-PCDT,1/29/19,201901,4.50
COSUMAR SA,Zaio,106077,Grossistes,A06,4202,GR-PCDT,10/1/20,202010,20.50
COSUMAR SA,Raffinerie,104267,GMS,A15,4212,GR-PCDT,7/9/19,201907,8.87
COSUMAR SA,Raffinerie,104019,Grossistes,A07,2000,Lingot,10/29/19,201910,1.00
COSUMAR SA,Raffinerie,106029,Grossistes,A15,2000,Lingot,3/3/20,202003,5.10
COSUMAR SA,Raffinerie,103062,Grossistes,A02,2000,Lingot,7/11/19,201907,9.06
COSUMAR SA,Raffinerie,110019,Grossistes,A07,3005,Morceau,1/30/20,202001,-1.00
COSUMAR SA,Raffinerie,105102,Grossistes,A07,2000,Lingot,5/8/19,201905,0.50
COSUMAR SA,Sidi Bennour,101011,Grossistes,A09,4501,GR-GCDT,4/13/19,201904,5.50
COSUMAR SA,Sidi Bennour,110230,Grossistes,A09,1013,Pain,4/15/20,202004,10.50
COSUMAR SA,Raffinerie,104497,GMS,A06,2000,Lingot,9/28/20,202009,11.70
COSUMAR SA,Sidi Bennour,105088,Grossistes,A01,4205,GR-PCDT,7/5/19,201907,3.30
COSUMAR SA,Raffinerie,100175,Grossistes,A01,3005,Morceau,12/13/19,201912,-0.18
COSUMAR SA,Raffinerie,101062,Grossistes,A01,2000,Lingot,8/29/20,202008,2.46
COSUMAR SA,Raffinerie,110209,Grossistes,A06,2000,Lingot,6/12/19,201906,1.50
COSUMAR SA,Sidi Bennour,105997,Grossistes,A01,4205,GR-PCDT,6/22/19,201906,7.50
COSUMAR SA,Raffinerie,101236,GMS,A15,3005,Morceau,10/8/20,202010,-0.18
COSUMAR SA,Raffinerie,104263,GMS,A02,3005,Morceau,10/28/20,202010,-0.18
COSUMAR SA,Sidi Bennour,104018,Grossistes,A01,4205,GR-PCDT,3/27/20,202003,3.50
COSUMAR SA,Raffinerie,102157,Grossistes,A02,1000,Pain,9/23/19,201909,14.50
COSUMAR SA,Raffinerie,106237,Grossistes,A01,4212,GR-PCDT,8/22/19,201908,1.09
COSUMAR SA,Sidi Bennour,101808,Grossistes,A02,4205,GR-PCDT,8/8/19,201908,2.51
COSUMAR SA,Raffinerie,106498,Grossistes,A01,3005,Morceau,11/17/20,202011,1.14
COSUMAR SA,Zaio,101843,Grossistes,A06,4202,GR-PCDT,7/19/19,201907,11.50
COSUMAR SA,Zaio,104029,Grossistes,A06,4202,GR-PCDT,2/3/20,202002,18.50
COSUMAR SA,Zaio,101978,Grossistes,A06,4202,GR-PCDT,7/5/19,201907,39.50
COSUMAR SA,Raffinerie,104474,Grossistes,A01,4500,GR-GCDT,2/22/20,202002,72.50
COSUMAR SA,Raffinerie,104637,Grossistes,A15,2000,Lingot,7/22/20,202007,-0.18
COSUMAR SA,Raffinerie,110301,Grossistes,A04,2000,Lingot,12/15/20,202012,-0.18
COSUMAR SA,Raffinerie,106197,Grossistes,A05,2000,Lingot,12/12/19,201912,2.46
COSUMAR SA,Raffinerie,107686,GMS,A01,3005,Morceau,5/22/20,202005,-0.18
COSUMAR SA,Raffinerie,103089,Grossistes,A02,2000,Lingot,9/9/19,201909,0.50
COSUMAR SA,Raffinerie,102102,Grossistes,A01,4212,GR-PCDT,1/24/19,201901,4.51
COSUMAR SA,Raffinerie,103089,Grossistes,A02,1000,Pain,7/22/19,201907,10.50
COSUMAR SA,Zaio,103087,Grossistes,A06,4202,GR-PCDT,5/4/19,201905,8.50
COSUMAR SA,Sidi Bennour,104018,Grossistes,A01,1007,Pain,9/14/20,202009,8.10
COSUMAR SA,Raffinerie,110204,Grossistes,A15,3005,Morceau,7/29/20,202007,-0.18
COSUMAR SA,Raffinerie,110241,Grossistes,A09,3005,Morceau,1/23/20,202001,-0.90
COSUMAR SA,Sidi Bennour,100469,Grossistes,A02,4205,GR-PCDT,12/8/20,202012,3.50
COSUMAR SA,Raffinerie,110278,Grossistes,A05,3005,Morceau,9/30/20,202009,3.78
COSUMAR SA,Raffinerie,105683,Grossistes,A09,2000,Lingot,3/31/20,202003,1.14
COSUMAR SA,Raffinerie,100008,Grossistes,A04,1000,Pain,1/15/19,201901,37.52
COSUMAR SA,Raffinerie,102009,Grossistes,A06,3000,Morceau,5/10/19,201905,7.32
COSUMAR SA,Raffinerie,102157,Grossistes,A02,2000,Lingot,4/4/19,201904,3.50
COSUMAR SA,Raffinerie,102157,Grossistes,A02,1000,Pain,4/24/19,201904,6.50
COSUMAR SA,Raffinerie,101845,Grossistes,A02,1000,Pain,11/30/19,201911,5.70
COSUMAR SA,Raffinerie,103608,Grossistes,A01,2000,Lingot,10/27/20,202010,5.10
COSUMAR SA,Raffinerie,105997,Grossistes,A01,4212,GR-PCDT,11/20/19,201911,14.05
COSUMAR SA,Raffinerie,110243,Grossistes,A01,3000,Morceau,2/12/20,202002,-0.24
COSUMAR SA,Raffinerie,110222,Grossistes,A01,1000,Pain,8/5/19,201908,7.72
COSUMAR SA,Raffinerie,110264,Grossistes,A02,2000,Lingot,11/20/20,202011,2.46
COSUMAR SA,Raffinerie,103674,Industriels,A01,4500,GR-GCDT,10/7/19,201910,50.50
COSUMAR SA,Raffinerie,101750,Grossistes,A09,2000,Lingot,1/12/19,201901,-0.50
COSUMAR SA,Raffinerie,110045,Grossistes,A15,1000,Pain,11/30/19,201911,6.56
COSUMAR SA,Raffinerie,106325,Grossistes,A01,1000,Pain,5/28/19,201905,7.72
COSUMAR SA,Raffinerie,102613,GMS,A01,2000,Lingot,1/15/19,201901,19.62
COSUMAR SA,Raffinerie,110045,Grossistes,A15,2000,Lingot,4/4/20,202004,1.14
COSUMAR SA,Raffinerie,110122,Grossistes,A15,3005,Morceau,4/7/20,202004,-0.18
COSUMAR SA,Sidi Bennour,110276,Grossistes,A01,4205,GR-PCDT,10/28/19,201910,5.10
COSUMAR SA,Raffinerie,103000,Industriels,A01,4406,GR-GCDT,6/24/20,202006,18.50
COSUMAR SA,Sidi Bennour,109083,Grossistes,A01,1007,Pain,4/17/20,202004,4.58
COSUMAR SA,Zaio,101978,Grossistes,A06,4506,GR-GCDT,11/3/20,202011,2.50
COSUMAR SA,Raffinerie,104474,Grossistes,A01,3005,Morceau,9/23/19,201909,1.14
COSUMAR SA,Raffinerie,110045,Grossistes,A15,3005,Morceau,11/26/19,201911,2.46
COSUMAR SA,Raffinerie,104207,Grossistes,A04,1000,Pain,4/13/19,201904,14.50
COSUMAR SA,Raffinerie,103608,Grossistes,A01,1000,Pain,7/19/19,201907,10.02
COSUMAR SA,Raffinerie,105683,Grossistes,A09,3000,Morceau,6/11/19,201906,-0.18
COSUMAR SA,Raffinerie,107020,Industriels,A01,4500,GR-GCDT,7/18/20,202007,73.50
COSUMAR SA,Raffinerie,106197,Grossistes,A05,3000,Morceau,3/12/19,201903,1.02
COSUMAR SA,Raffinerie,110092,GMS,A01,2000,Lingot,6/1/20,202006,10.38
COSUMAR SA,Raffinerie,100962,Grossistes,A09,2000,Lingot,8/8/20,202008,1.14
COSUMAR SA,Raffinerie,100008,Grossistes,A04,2000,Lingot,8/26/19,201908,8.02
COSUMAR SA,Sidi Bennour,106219,Grossistes,A07,1007,Pain,3/29/19,201903,4.90
COSUMAR SA,Raffinerie,101896,Grossistes,A05,2000,Lingot,12/28/19,201912,2.46
