Société,Site commercial,Numéro de client,Groupe de clients,Agence commerciale,Article,Groupe de marchandises,Jour calendaire,Mois/Année,Poids net
COSUMAR SA,Raffinerie,104260,GMS,A01,2000,Lingot,9/6/19,201909,3.78
COSUMAR SA,Raffinerie,110229,Grossistes,A06,1000,Pain,11/8/19,201911,12.90
COSUMAR SA,Sidi Bennour,105997,Grossistes,A01,4205,GR-PCDT,3/9/19,201903,6.90
COSUMAR SA,Raffinerie,102306,Grossistes,A01,4212,GR-PCDT,12/27/19,201912,-0.20
COSUMAR SA,Raffinerie,102001,Grossistes,A06,2000,Lingot,12/9/19,201912,6.42
COSUMAR SA,Raffinerie,103051,Grossistes,A09,2000,Lingot,10/7/20,202010,-0.18
COSUMAR SA,Raffinerie,110264,Grossistes,A02,1000,Pain,3/12/20,202003,25.70
COSUMAR SA,Raffinerie,101016,Grossistes,A04,3000,Morceau,4/15/19,201904,4.80
COSUMAR SA,Raffinerie,101841,GMS,A02,4500,GR-GCDT,11/14/20,202011,2.50
COSUMAR SA,Sidi Bennour,109083,Grossistes,A01,1007,Pain,6/28/19,201906,6.18
COSUMAR SA,Raffinerie,101062,Grossistes,A01,3000,Morceau,1/2/19,201901,-0.24
COSUMAR SA,Raffinerie,101564,Grossistes,A01,1000,Pain,3/4/20,202003,6.56
COSUMAR SA,Raffinerie,110090,GMS,A01,2000,Lingot,11/30/20,202011,9.06
COSUMAR SA,Sidi Bennour,104018,Grossistes,A01,1007,Pain,2/8/19,201902,5.70
COSUMAR SA,Zaio,101978,Grossistes,A06,4506,GR-GCDT,7/1/19,201907,0.50
COSUMAR SA,Raffinerie,106047,Industriels,A07,4303,GR-GCDT,6/27/19,201906,51.30
COSUMAR SA,Raffinerie,104551,Grossistes,A09,2000,Lingot,2/1/19,201902,1.80
COSUMAR SA,Sidi Bennour,110019,Grossistes,A07,1007,Pain,10/24/19,201910,17.06
COSUMAR SA,Raffinerie,106237,Grossistes,A01,2000,Lingot,6/14/19,201906,3.78
