Société,Site commercial,Numéro de client,Groupe de clients,Agence commerciale,Article,Groupe de marchandises,Jour calendaire,Mois/Année,Poids net
COSUMAR SA,Raffinerie,100117,Industriels,A06,4303,GR-GCDT,3/4/20,202003,24.90
COSUMAR SA,Raffinerie,103557,Grossistes,A07,2000,Lingot,12/16/19,201912,2.50
COSUMAR SA,Raffinerie,110230,Grossistes,A09,3005,Morceau,12/19/20,202012,-0.18
COSUMAR SA,Raffinerie,104207,Grossistes,A04,3005,Morceau,8/10/20,202008,5.10
COSUMAR SA,Raffinerie,101747,Grossistes,A09,2000,Lingot,8/11/20,202008,-0.18
COSUMAR SA,Raffinerie,106498,Grossistes,A01,2000,Lingot,11/11/20,202011,6.42
COSUMAR SA,Sidi Bennour,106035,Grossistes,A07,4501,GR-GCDT,8/3/19,201908,1.50
COSUMAR SA,Raffinerie,106498,Grossistes,A01,4212,GR-PCDT,12/12/19,201912,1.09
COSUMAR SA,Raffinerie,104646,Grossistes,A02,2000,Lingot,11/5/20,202011,2.46
COSUMAR SA,Raffinerie,100175,Grossistes,A01,2000,Lingot,11/16/20,202011,3.78
COSUMAR SA,Raffinerie,110266,Grossistes,A01,3005,Morceau,10/9/20,202010,-0.18
COSUMAR SA,Raffinerie,105997,Grossistes,A01,4512,GR-GCDT,7/21/20,202007,10.50
COSUMAR SA,Sidi Bennour,110101,Grossistes,A07,1007,Pain,9/21/20,202009,1.70
COSUMAR SA,Raffinerie,104244,GMS,A01,2000,Lingot,10/25/19,201910,3.78
COSUMAR SA,Raffinerie,101845,Grossistes,A02,3000,Morceau,8/3/19,201908,-1.00
COSUMAR SA,Raffinerie,110145,Grossistes,A09,2000,Lingot,3/25/19,201903,1.50
COSUMAR SA,Raffinerie,104474,Grossistes,A01,4212,GR-PCDT,1/22/19,201901,1.09
COSUMAR SA,Sidi Bennour,110234,Grossistes,A02,1007,Pain,5/5/20,202005,6.10
COSUMAR SA,Raffinerie,104970,Grossistes,A01,2000,Lingot,10/26/20,202010,1.14
COSUMAR SA,Sidi Bennour,101774,Grossistes,A01,4501,GR-GCDT,3/30/20,202003,0.50
COSUMAR SA,Sidi Bennour,103973,Industriels,A07,4501,GR-GCDT,3/20/20,202003,79.50
COSUMAR SA,Sidi Bennour,105940,Grossistes,A02,4501,GR-GCDT,7/5/19,201907,28.50
COSUMAR SA,Raffinerie,103050,Grossistes,A01,4500,GR-GCDT,1/20/20,202001,104.50
COSUMAR SA,Raffinerie,103608,Grossistes,A01,2000,Lingot,9/11/19,201909,1.14
COSUMAR SA,Raffinerie,106029,Grossistes,A15,2000,Lingot,2/13/19,201902,6.42
COSUMAR SA,Raffinerie,103608,Grossistes,A01,2000,Lingot,1/23/19,201901,3.78
COSUMAR SA,Raffinerie,106237,Grossistes,A01,1000,Pain,11/27/19,201911,4.26
COSUMAR SA,Raffinerie,101062,Grossistes,A01,1000,Pain,4/15/19,201904,4.26
COSUMAR SA,Raffinerie,106421,Grossistes,A01,2000,Lingot,10/20/20,202010,5.10
COSUMAR SA,Raffinerie,101845,Grossistes,A02,2000,Lingot,10/26/20,202010,5.10
COSUMAR SA,Raffinerie,107686,GMS,A01,2000,Lingot,4/15/20,202004,1.14
COSUMAR SA,Raffinerie,103094,Grossistes,A01,2000,Lingot,10/16/20,202010,5.10
COSUMAR SA,Raffinerie,105997,Grossistes,A01,1000,Pain,6/20/19,201906,117.16
COSUMAR SA,Raffinerie,106325,Grossistes,A01,1000,Pain,5/30/19,201905,10.02
COSUMAR SA,Raffinerie,110204,Grossistes,A15,3005,Morceau,12/30/20,202012,-0.18
COSUMAR SA,Raffinerie,106047,Industriels,A07,4303,GR-GCDT,6/11/19,201906,24.90
COSUMAR SA,Raffinerie,105997,Grossistes,A01,2000,Lingot,6/26/20,202006,23.58
